Date,Humidity (%)
2025-11-04 0:00:00,92
2025-11-04 1:00:00,91
2025-11-04 2:00:00,90
2025-11-04 3:00:00,90
2025-11-04 4:00:00,90
2025-11-04 5:00:00,90
2025-11-04 6:00:00,85
2025-11-04 7:00:00,78
2025-11-04 8:00:00,71
2025-11-04 15:00:00,71
2025-11-04 16:00:00,87
2025-11-04 17:00:00,94
2025-11-04 18:00:00,96
2025-11-04 19:00:00,97
2025-11-04 20:00:00,97
2025-11-04 21:00:00,98
2025-11-04 22:00:00,96
2025-11-04 23:00:00,97
2025-11-05 0:00:00,97
2025-11-05 1:00:00,97
2025-11-05 2:00:00,97
2025-11-05 3:00:00,96
2025-11-05 4:00:00,95
2025-11-05 5:00:00,92
2025-11-05 6:00:00,84
2025-11-05 7:00:00,76
2025-11-05 16:00:00,72
2025-11-05 17:00:00,83
2025-11-05 18:00:00,88
2025-11-05 19:00:00,89
2025-11-05 20:00:00,90
2025-11-05 21:00:00,91
2025-11-05 22:00:00,91
2025-11-05 23:00:00,90
2025-11-06 0:00:00,89
2025-11-06 1:00:00,88
2025-11-06 2:00:00,88
2025-11-06 3:00:00,88
2025-11-06 4:00:00,88
2025-11-06 5:00:00,86
2025-11-06 6:00:00,79
2025-11-06 7:00:00,72
2025-11-06 11:00:00,71
2025-11-06 12:00:00,77
2025-11-06 13:00:00,80
2025-11-06 14:00:00,83
2025-11-06 15:00:00,89
2025-11-06 16:00:00,94
2025-11-06 17:00:00,96
2025-11-06 18:00:00,96
2025-11-06 19:00:00,96
2025-11-06 20:00:00,96
2025-11-06 21:00:00,96
2025-11-06 22:00:00,96
2025-11-06 23:00:00,96
